scaling_method,dataset_type,dataset_name,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
log1p,by_component,by_component_log1p,U,random_forest,800,200,0.7400916027038458,0.7309772062597307,0.5394097327756634,0.5288072464101141
log1p,by_component,by_component_log1p,U,gbm,800,200,0.767365337091435,0.7691621125364873,0.567376145627516,0.5040353260991202
log1p,by_component,by_component_log1p,O,linear_regression,800,200,0.5491604535787301,0.5735699023104345,0.4171968140235824,1.182784641452152
log1p,by_component,by_component_log1p,O,svr,800,200,0.8169119233003695,0.8269039656919193,0.6356255183888279,0.6304513273154666
log1p,by_component,by_component_log1p,O,random_forest,800,200,0.7850994375080717,0.7781026234372823,0.5879573757234843,0.6740961509990518
log1p,by_component,by_component_log1p,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
log1p,s_only,s_only_log1p,TSV,linear_regression,800,200,0.6130187517120564,0.6134019769992809,0.4394760797204654,0.681295338633706
log1p,s_only,s_only_log1p,TSV,svr,800,200,0.8370353990252174,0.8130508093302278,0.6290086273210965,0.36626768166639684
log1p,s_only,s_only_log1p,TSV,random_forest,800,200,0.7908358444697844,0.7597021152038285,0.5755894220260142,0.4060940212703952
log1p,s_only,s_only_log1p,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
log1p,s_only,s_only_log1p,B,linear_regression,800,200,0.4321967867880608,0.4488662546500871,0.31285720974353015,1.2870346190766502
log1p,s_only,s_only_log1p,B,svr,800,200,0.6931307073328482,0.6773528177332705,0.4912583892686746,0.5857561822191797
log1p,s_only,s_only_log1p,B,random_forest,800,200,0.6506878056528832,0.6032801046645098,0.4348150782324707,0.6222860556485798
log1p,s_only,s_only_log1p,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
log1p,s_only,s_only_log1p,SR,linear_regression,800,200,0.32345322677826827,0.32240373632597336,0.21767546501969057,1.085175934547868
log1p,s_only,s_only_log1p,SR,svr,800,200,0.71025685873163,0.7152834602661592,0.5239292601467009,0.4797659040778457
log1p,s_only,s_only_log1p,SR,random_forest,800,200,0.6371418060751849,0.6235030462359228,0.44761716871485563,0.5351106013857616
log1p,s_only,s_only_log1p,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
log1p,s_only,s_only_log1p,S,linear_regression,800,200,0.5278493818568673,0.5598639164960072,0.3980099507513319,0.9424937997192809
log1p,s_only,s_only_log1p,S,svr,800,200,0.8156050800717078,0.8129301829524397,0.6109854774286229,0.45367794833501024
log1p,s_only,s_only_log1p,S,random_forest,800,200,0.774213950215612,0.7702983351823477,0.5686717932704636,0.4959381682047546
log1p,s_only,s_only_log1p,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
log1p,s_only,s_only_log1p,U,linear_regression,800,200,0.4480636939500025,0.4423519370899525,0.3131634647763223,0.9127906663474451
log1p,s_only,s_only_log1p,U,svr,800,200,0.7788683485061998,0.7744235907539931,0.5797497743353501,0.49001251466533946
log1p,s_only,s_only_log1p,U,random_forest,800,200,0.740016199322479,0.7306329413271812,0.5392085355609018,0.5288455976428514
log1p,s_only,s_only_log1p,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
log1p,s_only,s_only_log1p,O,linear_regression,800,200,0.5402896140651133,0.5725536139454661,0.41478323717976756,1.2086076548540465
log1p,s_only,s_only_log1p,O,svr,800,200,0.8148591503572931,0.8107453557030787,0.6177248234638676,0.6264343717933979
log1p,s_only,s_only_log1p,O,random_forest,800,200,0.7850970394203856,0.7779946193601196,0.5878568100216587,0.6740980103462599
log1p,s_only,s_only_log1p,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
minmax,all_features,all_features_minmax,TSV,linear_regression,800,200,0.4671397933927416,0.4423385882425289,0.3080909909909409,1.0401373560088802
minmax,all_features,all_features_minmax,TSV,svr,800,200,0.8442006545437829,0.8220722649166681,0.6381633310533987,0.3656966961763263
minmax,all_features,all_features_minmax,TSV,random_forest,800,200,0.7908579327536637,0.7597021152038285,0.5755894220260142,0.40607526228131874
minmax,all_features,all_features_minmax,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
minmax,all_features,all_features_minmax,B,linear_regression,800,200,0.3187622103317943,0.3363811621197981,0.22194316232450173,2.1373343732350425
minmax,all_features,all_features_minmax,B,svr,800,200,0.6973868337052658,0.664409426274636,0.4808768517030871,0.5833213260339857
minmax,all_features,all_features_minmax,B,random_forest,800,200,0.6529429104157688,0.6047022575507853,0.4376372437842809,0.6229449446348294
minmax,all_features,all_features_minmax,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
minmax,all_features,all_features_minmax,SR,linear_regression,800,200,0.07710574235274929,0.12489996557675254,0.08495878426865522,1.8819531451839087
minmax,all_features,all_features_minmax,SR,svr,800,200,0.729382290589593,0.7273498433740976,0.5450432775389111,0.4719853810723043
minmax,all_features,all_features_minmax,SR,random_forest,800,200,0.6370533901263831,0.6236373004984985,0.44761716871485563,0.5351441790955936
minmax,all_features,all_features_minmax,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
minmax,all_features,all_features_minmax,S,linear_regression,800,200,0.39010395442164364,0.3870834673993944,0.2714709285301382,1.4403065446346581
minmax,all_features,all_features_minmax,S,svr,800,200,0.8281059435351038,0.8350992538060205,0.6327956186692892,0.44233430302615206
minmax,all_features,all_features_minmax,S,random_forest,800,200,0.7741771304373386,0.7702983351823477,0.5685712857071425,0.49597475556789417
minmax,all_features,all_features_minmax,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
minmax,all_features,all_features_minmax,U,linear_regression,800,200,0.2636459917449613,0.29265144380578273,0.20230379944271895,1.6085220374657823
minmax,all_features,all_features_minmax,U,svr,800,200,0.8177726798062008,0.822203663222703,0.6285400989150213,0.44971250614115893
minmax,all_features,all_features_minmax,U,random_forest,800,200,0.7399121590604595,0.730527936772591,0.5390073383461402,0.5289224461752268
minmax,all_features,all_features_minmax,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
minmax,all_features,all_features_minmax,O,linear_regression,800,200,0.4317164395408204,0.4364654766072198,0.30526718789166796,1.7371054581938883
minmax,all_features,all_features_minmax,O,svr,800,200,0.8301467905583345,0.8308446144517303,0.6421622890074932,0.6050340495790097
minmax,all_features,all_features_minmax,O,random_forest,800,200,0.7851254936164368,0.7779946193601196,0.5878568100216587,0.6740676566565491
minmax,all_features,all_features_minmax,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
minmax,by_component,by_component_minmax,TSV,linear_regression,800,200,0.4671397933927416,0.4423385882425289,0.3080909909909409,1.0401373560088802
minmax,by_component,by_component_minmax,TSV,svr,800,200,0.8442006545437829,0.8220722649166681,0.6381633310533987,0.3656966961763263
minmax,by_component,by_component_minmax,TSV,random_forest,800,200,0.7908579327536637,0.7597021152038285,0.5755894220260142,0.40607526228131874
minmax,by_component,by_component_minmax,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
minmax,by_component,by_component_minmax,B,linear_regression,800,200,0.3187622103317943,0.3363811621197981,0.22194316232450173,2.1373343732350425
minmax,by_component,by_component_minmax,B,svr,800,200,0.6973868337052658,0.664409426274636,0.4808768517030871,0.5833213260339857
minmax,by_component,by_component_minmax,B,random_forest,800,200,0.6529429104157688,0.6047022575507853,0.4376372437842809,0.6229449446348294
minmax,by_component,by_component_minmax,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
minmax,by_component,by_component_minmax,SR,linear_regression,800,200,0.07710574235274929,0.12489996557675254,0.08495878426865522,1.8819531451839087
minmax,by_component,by_component_minmax,SR,svr,800,200,0.729382290589593,0.7273498433740976,0.5450432775389111,0.4719853810723043
minmax,by_component,by_component_minmax,SR,random_forest,800,200,0.6370533901263831,0.6236373004984985,0.44761716871485563,0.5351441790955936
minmax,by_component,by_component_minmax,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
minmax,by_component,by_component_minmax,S,linear_regression,800,200,0.39010395442164364,0.3870834673993944,0.2714709285301382,1.4403065446346581
minmax,by_component,by_component_minmax,S,svr,800,200,0.8281059435351038,0.8350992538060205,0.6327956186692892,0.44233430302615206
minmax,by_component,by_component_minmax,S,random_forest,800,200,0.7741771304373386,0.7702983351823477,0.5685712857071425,0.49597475556789417
minmax,by_component,by_component_minmax,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
minmax,by_component,by_component_minmax,U,linear_regression,800,200,0.2636459917449613,0.29265144380578273,0.20230379944271895,1.6085220374657823
minmax,by_component,by_component_minmax,U,svr,800,200,0.8177726798062008,0.822203663222703,0.6285400989150213,0.44971250614115893
minmax,by_component,by_component_minmax,U,random_forest,800,200,0.7399121590604595,0.730527936772591,0.5390073383461402,0.5289224461752268
minmax,by_component,by_component_minmax,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
minmax,by_component,by_component_minmax,O,linear_regression,800,200,0.4317164395408204,0.4364654766072198,0.30526718789166796,1.7371054581938883
minmax,by_component,by_component_minmax,O,svr,800,200,0.8301467905583345,0.8308446144517303,0.6421622890074932,0.6050340495790097
minmax,by_component,by_component_minmax,O,random_forest,800,200,0.7851254936164368,0.7779946193601196,0.5878568100216587,0.6740676566565491
minmax,by_component,by_component_minmax,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
minmax,s_only,s_only_minmax,TSV,linear_regression,800,200,0.5626690771532601,0.5846342742209371,0.41613661526009044,0.7665116532474545
minmax,s_only,s_only_minmax,TSV,svr,800,200,0.8427563757426267,0.8199624083682264,0.6382639321933141,0.36146248001629977
minmax,s_only,s_only_minmax,TSV,random_forest,800,200,0.7908579327536637,0.7597021152038285,0.5755894220260142,0.40607526228131874
minmax,s_only,s_only_minmax,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
minmax,s_only,s_only_minmax,B,linear_regression,800,200,0.3985482155155863,0.4091644865748944,0.28382922121062526,1.4335695121358099
minmax,s_only,s_only_minmax,B,svr,800,200,0.6822913718912175,0.660745282366695,0.4801713103151345,0.5944100567221775
minmax,s_only,s_only_minmax,B,random_forest,800,200,0.6529184621838771,0.6047022575507853,0.4376372437842809,0.6229715255406248
minmax,s_only,s_only_minmax,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
minmax,s_only,s_only_minmax,SR,linear_regression,800,200,0.26933461098282885,0.28882967034861373,0.19877339230666433,1.2177127048960943
minmax,s_only,s_only_minmax,SR,svr,800,200,0.7155267769049246,0.7269613310388221,0.5301629224244011,0.4744952858794361
minmax,s_only,s_only_minmax,SR,random_forest,800,200,0.6370533901263831,0.6236373004984985,0.44761716871485563,0.5351441790955936
minmax,s_only,s_only_minmax,SR,gbm,800,200,0.6744395230192298,0.6402623283435115,0.4587774350507381,0.5038601206665294
minmax,s_only,s_only_minmax,S,linear_regression,800,200,0.5134182678515216,0.5196793817442261,0.3663500683052032,1.0063338995592819
minmax,s_only,s_only_minmax,S,svr,800,200,0.8275678507969072,0.8291088495531093,0.6349062774990312,0.4422022761670765
minmax,s_only,s_only_minmax,S,random_forest,800,200,0.7741771304373386,0.7702983351823477,0.5685712857071425,0.49597475556789417
minmax,s_only,s_only_minmax,S,gbm,800,200,0.7950711956669645,0.7924351552054695,0.5926931009041929,0.4752802940306273
minmax,s_only,s_only_minmax,U,linear_regression,800,200,0.3791668152584458,0.398931053701805,0.28388927002851955,1.1008791664565296
minmax,s_only,s_only_minmax,U,svr,800,200,0.8003474132339445,0.8021597938164837,0.6030886512476877,0.46824641620852936
minmax,s_only,s_only_minmax,U,random_forest,800,200,0.7399147675271822,0.730527936772591,0.5390073383461402,0.5289202666549009
minmax,s_only,s_only_minmax,U,gbm,800,200,0.7840531400929694,0.7902380267078225,0.592626396080088,0.48977825731179264
minmax,s_only,s_only_minmax,O,linear_regression,800,200,0.5001545466881587,0.5631340083545894,0.4037210099789494,1.333265434094967
minmax,s_only,s_only_minmax,O,svr,800,200,0.8258214361391993,0.827485987663296,0.6383407923381197,0.6088704589526005
minmax,s_only,s_only_minmax,O,random_forest,800,200,0.7851254936164368,0.7779946193601196,0.5878568100216587,0.6740676566565491
minmax,s_only,s_only_minmax,O,gbm,800,200,0.828618222652689,0.8203052165886041,0.6318040217194544,0.6063547760471781
power,all_features,all_features_power,TSV,linear_regression,800,200,0.44785698462885176,0.47487373127783067,0.33666171472691714,1.235435050550898
power,all_features,all_features_power,TSV,svr,800,200,0.8794890389365205,0.8572190398402294,0.674379741422946,0.3157930063090235
power,all_features,all_features_power,TSV,random_forest,800,200,0.7907922588318439,0.7595438572117484,0.5752876186062679,0.40613561135990556
power,all_features,all_features_power,TSV,gbm,800,200,0.8233029284281577,0.7920197472547548,0.6069769776796218,0.3771025223328907
power,all_features,all_features_power,B,linear_regression,800,200,0.2562438866175021,0.24926829719033033,0.16691093406420293,2.3038436518732306
power,all_features,all_features_power,B,svr,800,200,0.7405163473564675,0.7230994856557706,0.5302647488597655,0.5516950719941576
power,all_features,all_features_power,B,random_forest,800,200,0.6506754704804308,0.6033858660342171,0.43471428660562034,0.6222888709398162
power,all_features,all_features_power,B,gbm,800,200,0.7174707296983284,0.6670167065661412,0.4942821380741855,0.5688753019237857
power,all_features,all_features_power,SR,linear_regression,800,200,0.1862533753567638,0.20454124418916286,0.13804545656906936,1.8747366131150727
power,all_features,all_features_power,SR,svr,800,200,0.7601392157790097,0.7678353787907695,0.5767143036272264,0.442644409271333
